id,pref_code,pref,occurred_at,species,species_label,category,category_raw,count,municipality,place,lat,lon,note,source_id,source_page,license,attribution
ishikari-higuma:238,01,北海道,2026-05-04,higuma,ヒグマ,unknown,ヒグマ,,石狩市,石狩市浜益毘砂別236番地5付近（毘砂別会館付近）,43.56088677769862,141.37892064938384,目撃者（通報者）が国道231号を札幌方面から増毛方面へ走行中、毘砂別会館付近においてヒグマ1頭（体長約1.0m、毛色不明）を目撃した。ヒグマは山側の道路脇から斜面方向へ移動し、その後、姿を消したため、以降の動向は不明,ishikari-higuma,https://www.city.ishikari.hokkaido.jp/,CC-BY-4.0,石狩市
ishikari-higuma:242,01,北海道,2026-05-04,higuma,ヒグマ,unknown,ヒグマ,,石狩市,厚田小谷２９２番地７付近,43.370705730985236,141.4417216947352,山菜採りのために入林中に道路上に落ちているクマの糞らしきものを発見した。,ishikari-higuma,https://www.city.ishikari.hokkaido.jp/,CC-BY-4.0,石狩市
akita-kumadas:24228,05,秋田県,2026-05-04T06:50:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,鹿角市,〒018-5334秋田県鹿角市十和田毛馬内字中台地,40.28908787,140.7576149,田んぼ／体長1m／民家から200m／目撃から50m車両で道路を走行中、田んぼの中にクマがいるのを発見した。クマはゴミ処理施設のある方向、西に向かって移動した。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24232,05,秋田県,2026-05-04T10:30:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市大森町町田,39.33709375,140.4214621,【状況の記載無し】1m50cm以上の熊,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24233,05,秋田県,2026-05-04T11:40:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,にかほ市,〒018-0163 秋田県にかほ市象潟町長岡家尻,39.2032853,139.9502528,長岡自治会館の土手を駆け上がる子グマを目撃,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24234,05,秋田県,2026-05-04T13:15:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,男鹿市,秋田県男鹿市戸賀加茂青砂字ヒロキ,39.87489963,139.7430253,加茂青砂側から船川方面へ車で移動中、体長約1.0ｍのクマ1頭を道路工事信号待ちの際、海側の草むらにいるのを目撃。西側（海側）へ立ち去った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24238,05,秋田県,2026-05-04T13:30:00,shika,ニホンジカ,sighting,目撃,1,由利本荘市,秋田県由利本荘市西沢南由利原,39.24312235,140.0636673,【投稿】,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24236,05,秋田県,2026-05-04T15:16:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,男鹿市,秋田県男鹿市戸賀戸賀小沢,39.95917839,139.7185421,【投稿】水族館から帰る時に車窓からツキノワグマが見えた。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24237,05,秋田県,2026-05-04T15:53:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,仙北市,秋田県仙北市田沢湖卒田黒倉,39.61012689,140.6529272,体長約1mほどのクマが木の上に登っていた。立ち去り方向不明。付近の建物まで約200m。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24241,05,秋田県,2026-05-04T16:40:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,潟上市,〒010-0101 秋田県潟上市天王追分西５０－１７,39.82220912,140.0373446,1640頃天王字追分西付近で1.0mのクマ1頭目撃情報あり。一時木に登りその後立ち去ったとのこと。立ち去り方向不明,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24240,05,秋田県,2026-05-04T16:50:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,潟上市,〒010-0101 秋田県潟上市天王上北野４－１８１,39.82595065,140.0417061,天王南中学校付近の市道で1.0mのクマ1頭目撃情報あり。東方向に立ち去ったとのこと。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24242,05,秋田県,2026-05-04T17:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市増田町戸波鳥屋森,39.18591965,140.5376065,【投稿】（状況の記載なし）,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24260,05,秋田県,2026-05-04T17:00:00,inoshishi,イノシシ,sighting,目撃,1,大館市,秋田県大館市比内町八木橋板戸,40.19883328,140.535171,【投稿】崖の方から住宅街の方へ降りて行きました。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
ishikari-higuma:240,01,北海道,2026-05-05,higuma,ヒグマ,unknown,ヒグマ,,石狩市,石狩市浜益毘砂別３６３－３番地付近,43.556431507614164,141.395118532933,目撃者（通報者）が走行中、ヒグマ1頭（毛色は黒）を目撃した。ヒグマは草を食べていたところ、車の存在に気付いて山へ逃げて行きました。,ishikari-higuma,https://www.city.ishikari.hokkaido.jp/,CC-BY-4.0,石狩市
akita-kumadas:24245,05,秋田県,2026-05-05T04:45:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市大森町菅生田,39.35243888,140.4173869,【投稿】老健おおもり前の職員駐車場に1メートルほどのクマ１頭がいるのを目撃。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24243,05,秋田県,2026-05-05T05:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒019-2111 秋田県大仙市土川小杉山沢ノ内牢ノ沢１－２３,39.55701723,140.4861045,【投稿】車で走行中野原に居る熊を目撃。しばらくこちらを見ていたが藪の中に入って行った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24284,05,秋田県,2026-05-05T05:00:00,tsukinowaguma,ツキノワグマ,trace,痕跡(その他),1,大仙市,〒014-0103 秋田県大仙市高関上郷横張田７３,39.48572702,140.5035675,【投稿】田んぼにツキノワグマらしき足跡が複数ありました。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24246,05,秋田県,2026-05-05T06:05:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市大森町鯲沼,39.33139295,140.4173648,【投稿】走って山に逃げた。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24247,05,秋田県,2026-05-05T06:05:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市大森町鯲沼,39.33151743,140.4175133,【投稿】大森町大山神社付近小熊　約1メートルの小熊,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24251,05,秋田県,2026-05-05T06:20:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,湯沢市,〒012-0104 秋田県湯沢市駒形町八面西川連,39.16151235,140.5516738,現場付近でクマを目撃。クマは川を渡り西側稲川スキー場方面の山に入っていった。体長は0.8ｍ～1.0ｍ。警察に通報、警察が現場をパトロール警戒、周囲に被害なし。 目撃場所は民家まで250mほど。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24249,05,秋田県,2026-05-05T06:30:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市山内筏,39.26553164,140.6487075,田んぼの中を移動する体長約1mのクマ1頭を目撃。その後、クマは南東（筏字久保）方向に移動した。民家までの距離約100ｍ。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24244,05,秋田県,2026-05-05T06:36:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,八郎潟町,秋田県八郎潟町,39.97066316,140.098443,【投稿】高速道路を走って横切った,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24248,05,秋田県,2026-05-05T07:54:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,横手市,秋田県横手市大森町十日町,39.35252474,140.4443993,【投稿】【状況の記載無し】,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
